Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
313,1,STEP,10135035624882,10135038337214,2712332,-1
314,1,STEP,10135038397037,10135041130819,2733782,-1
315,1,STEP,10135041200430,10135043957837,2757407,-1
316,1,STEP,10135044025465,10135046680910,2655445,-1
317,1,STEP,10135046742025,10135049272735,2530710,-1
318,1,STEP,10135049341925,10135051834834,2492909,-1
319,1,STEP,10135051902211,10135054660199,2757988,-1
320,1,STEP,10135054734439,10135057650405,2915966,-1
321,1,STEP,10135057710297,10135060857489,3147192,-1
322,1,STEP,10135060919446,10135063549573,2630127,-1
323,1,STEP,10135063609947,10135066441645,2831698,-1
324,1,STEP,10135066503782,10135069734291,3230509,-1
325,1,STEP,10135069802289,10135072584272,2781983,-1
326,1,STEP,10135072657671,10135075685147,3027476,-1
327,1,STEP,10135075751652,10135078758509,3006857,-1
328,1,STEP,10135078820566,10135081479979,2659413,-1
329,1,STEP,10135081540683,10135084211086,2670403,-1
330,1,STEP,10135084270779,10135087739907,3469128,-1
331,1,STEP,10135087804559,10135090439375,2634816,-1
332,1,STEP,10135090512663,10135093444409,2931746,-1
333,1,STEP,10135093505655,10135096099764,2594109,-1
334,1,STEP,10135096160699,10135098805534,2644835,-1
335,1,STEP,10135098866188,10135101704548,2838360,-1
336,1,STEP,10135101765192,10135104635101,2869909,-1
337,1,STEP,10135104694293,10135107693375,2999082,-1
338,1,STEP,10135107754431,10135110573534,2819103,-1
339,1,STEP,10135110635641,10135113250099,2614458,-1
340,1,STEP,10135113311033,10135115843306,2532273,-1
341,1,STEP,10135115904902,10135118611153,2706251,-1
342,1,STEP,10135118672759,10135121223547,2550788,-1
343,1,STEP,10135121286346,10135124097735,2811389,-1
344,1,STEP,10135124159231,10135127460382,3301151,-1
345,1,STEP,10135127523321,10135130661616,3138295,-1
346,1,STEP,10135130722401,10135132819132,2096731,-1
347,1,STEP,10135132890026,10135135488053,2598027,-1
348,1,STEP,10135135547936,10135138378861,2830925,-1
349,1,STEP,10135138439656,10135141152819,2713163,-1
350,1,STEP,10135141213494,10135143783828,2570334,-1
351,1,STEP,10135143843771,10135146457578,2613807,-1
352,1,STEP,10135146518493,10135149498089,2979596,-1
353,1,STEP,10135149559485,10135152315890,2756405,-1
354,1,STEP,10135152376945,10135155347354,2970409,-1
355,1,STEP,10135155407768,10135157981629,2573861,-1
356,1,STEP,10135158041852,10135160760326,2718474,-1
357,1,STEP,10135160824036,10135163744320,2920284,-1
358,1,STEP,10135163806347,10135165964464,2158117,-1
359,1,STEP,10135166030629,10135168834053,2803424,-1
360,1,STEP,10135168894266,10135171327072,2432806,-1
361,1,STEP,10135171388648,10135174180870,2792222,-1
362,1,STEP,10135174242487,10135176781012,2538525,-1
363,1,STEP,10135176841846,10135179587181,2745335,-1
364,1,STEP,10135179648216,10135182480394,2832178,-1
365,1,STEP,10135182540016,10135184813712,2273696,-1
366,1,STEP,10135184872112,10135187804308,2932196,-1
367,1,STEP,10135187866015,10135190294672,2428657,-1
368,1,STEP,10135190355707,10135193116360,2760653,-1
369,1,STEP,10135193176263,10135195584983,2408720,-1
370,1,STEP,10135195644986,10135198283780,2638794,-1
371,1,STEP,10135198346878,10135200416259,2069381,-1
372,1,STEP,10135200484227,10135203235613,2751386,-1
373,1,STEP,10135203319451,10135206303756,2984305,-1
374,1,STEP,10135206365823,10135208425996,2060173,-1
375,1,STEP,10135208490438,10135211084897,2594459,-1
376,1,STEP,10135211146764,10135213663558,2516794,-1
377,1,STEP,10135213723461,10135216422077,2698616,-1
378,1,STEP,10135216483272,10135219130902,2647630,-1
379,1,STEP,10135219192328,10135221668926,2476598,-1
380,1,STEP,10135221750079,10135224304754,2554675,-1
381,1,STEP,10135224365949,10135226640496,2274547,-1
382,1,STEP,10135226701511,10135229602178,2900667,-1
383,1,STEP,10135229663654,10135232390924,2727270,-1
384,1,STEP,10135232452881,10135234811016,2358135,-1
385,1,STEP,10135234878022,10135237621604,2743582,-1
386,1,STEP,10135237697256,10135240741474,3044218,-1
387,1,STEP,10135240812558,10135243583671,2771113,-1
388,1,STEP,10135243653543,10135246363270,2709727,-1
389,1,STEP,10135246428282,10135249159189,2730907,-1
390,1,STEP,10135249219042,10135251903181,2684139,-1
391,1,STEP,10135251963886,10135254583904,2620018,-1
392,1,STEP,10135254645710,10135257164748,2519038,-1
393,1,STEP,10135257224871,10135259989462,2764591,-1
394,1,STEP,10135260058672,10135262453206,2394534,-1
395,1,STEP,10135262513890,10135265104533,2590643,-1
396,1,STEP,10135265176589,10135267710976,2534387,-1
397,1,STEP,10135267768805,10135270722161,2953356,-1
398,1,STEP,10135270794768,10135273338032,2543264,-1
399,1,STEP,10135273400930,10135276092343,2691413,-1
400,1,STEP,10135276153017,10135279090043,2937026,-1
401,1,STEP,10135279152060,10135281800521,2648461,-1
402,1,STEP,10135281887495,10135285104719,3217224,-1
403,1,STEP,10135285165283,10135288032297,2867014,-1
404,1,STEP,10135288094745,10135290700706,2605961,-1
405,1,STEP,10135290758736,10135293505183,2746447,-1
406,1,STEP,10135293562912,10135296053876,2490964,-1
407,1,STEP,10135296113609,10135298479949,2366340,-1
408,1,STEP,10135298546334,10135301267443,2721109,-1
409,1,STEP,10135301328959,10135304439882,3110923,-1
410,1,STEP,10135304503492,10135306848171,2344679,-1
411,1,STEP,10135306908826,10135309762544,2853718,-1
412,1,STEP,10135309831043,10135312316838,2485795,-1
413,1,STEP,10135312378655,10135315115623,2736968,-1
414,1,STEP,10135315177059,10135317465993,2288934,-1
